City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1192,Shalakusha,RU,62.2247,40.2539,3.0,86,100,8.68,overcast clouds
1193,Nadym,RU,65.5333,72.5167,-21.53,100,43,8.81,scattered clouds
1194,Mao,ES,39.8885,4.2658,57.76,72,20,5.75,few clouds
1195,Verkhnetulomskiy,RU,68.6073,31.7962,-9.74,100,49,0.98,scattered clouds
1196,Tome,CL,-36.6167,-72.95,74.01,48,0,10.27,clear sky
1197,Odweyne,SO,9.4092,45.064,61.92,72,0,8.41,clear sky
1198,Porbandar,IN,21.6422,69.6093,74.97,59,0,12.3,clear sky
1199,Knysna,ZA,-34.0363,23.0471,63.3,94,100,16.04,light rain
1200,Marrakesh,MA,31.6315,-8.0083,59.07,47,0,4.61,clear sky
1201,Salyan,AZ,39.5936,48.9805,49.14,88,3,4.09,clear sky
1202,Pidhaytsi,UA,49.2685,25.1334,30.02,77,100,4.92,overcast clouds
1203,Velyka Pysarivka,UA,50.4259,35.485,30.97,82,53,4.05,broken clouds
1204,Ciudad Guayana,VE,8.3533,-62.6528,88.52,61,100,7.72,overcast clouds
1205,Kuminskiy,RU,58.6667,66.5667,35.96,92,100,13.11,overcast clouds
1206,Paita,PE,-5.0892,-81.1144,77.56,70,100,14.36,overcast clouds
1207,Villa Maria,AR,-32.4075,-63.2402,83.59,32,10,9.35,clear sky
1208,Algete,ES,40.5971,-3.4974,51.57,82,0,4.0,clear sky
1209,Peekskill,US,41.2901,-73.9204,50.61,55,26,8.08,scattered clouds
1210,Mangan,IN,27.5167,88.5333,61.79,73,82,1.9,broken clouds
1211,Samandag,TR,36.0842,35.9771,52.32,52,100,15.82,overcast clouds
1212,Manaus,BR,-3.1019,-60.025,84.7,79,75,2.3,broken clouds
1213,Hilton Head Island,US,32.2163,-80.7526,75.99,70,1,6.91,clear sky
1214,Elbistan,TR,38.2059,37.1983,41.74,63,100,0.63,overcast clouds
1215,Yokadouma,CM,3.5167,15.05,73.81,82,76,2.53,broken clouds
1216,Bindura,ZW,-17.3019,31.3306,78.01,32,71,5.73,broken clouds
1217,Marzuq,YE,14.4,46.4667,61.86,30,0,0.76,clear sky
1218,Dzaoudzi,YT,-12.7887,45.2699,80.49,83,0,0.0,clear sky
