City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,Yei,4.095,30.6779,67.01,82,53,2.86,SS,2021-12-02 03:58:32
163,Saint-Philippe,-21.3585,55.7679,80.15,84,59,11.12,RE,2021-12-02 03:58:33
164,Itarema,-2.9248,-39.9167,79.83,79,92,11.83,BR,2021-12-02 03:58:33
165,Ugoofaaru,5.6667,73.0,81.73,76,25,6.98,MV,2021-12-02 03:58:33
166,Hurghada,27.2574,33.8129,64.44,59,0,16.11,EG,2021-12-02 03:58:34
167,Poli,-3.3333,36.8,61.57,94,75,11.5,TZ,2021-12-02 03:58:34
168,Tazovskiy,67.4667,78.7,-6.86,95,100,16.31,RU,2021-12-02 03:58:34
169,Rio Gallegos,-51.6226,-69.2181,46.45,46,0,11.5,AR,2021-12-02 03:56:05
170,Verkhnyaya Sinyachikha,57.976,61.6673,36.27,92,100,8.81,RU,2021-12-02 03:58:35
171,Bereda,43.2686,-7.5406,46.15,100,79,7.92,ES,2021-12-02 03:58:35
172,Ust-Ishim,57.6935,71.1665,32.27,78,100,11.18,RU,2021-12-02 03:58:35
173,Belmonte,-15.8631,-38.8828,77.5,89,100,11.5,BR,2021-12-02 03:58:35
174,Frumusica,47.5333,26.9,42.35,71,84,6.13,RO,2021-12-02 03:58:36
175,Parrsboro,45.4001,-64.332,36.7,70,68,3.0,CA,2021-12-02 03:58:36
176,Patur,20.45,76.9333,72.0,41,98,7.76,IN,2021-12-02 03:58:36
177,Puerto Leguizamo,-0.1934,-74.7819,74.68,85,99,2.08,CO,2021-12-02 03:58:37
178,Calvinia,-31.4707,19.776,53.02,75,100,4.5,ZA,2021-12-02 03:58:37
179,Narsaq,60.9167,-46.05,30.09,98,100,12.3,GL,2021-12-02 03:58:37
180,Codrington,-38.2667,141.9667,64.29,71,81,18.75,AU,2021-12-02 03:58:38
181,Novyy Urengoy,66.0833,76.6333,-0.26,97,100,14.14,RU,2021-12-02 03:58:38
182,Jablanica,43.6603,17.7617,46.53,100,100,4.59,BA,2021-12-02 03:57:02
183,Salamiyah,35.0113,37.0532,50.23,69,5,11.07,SY,2021-12-02 03:58:38
184,Pila,53.1515,16.7378,36.9,76,96,26.08,PL,2021-12-02 03:58:39
185,Bambous Virieux,-20.3428,57.7575,82.22,74,75,6.91,MU,2021-12-02 03:58:39
186,Sao Filipe,14.8961,-24.4956,74.46,67,100,9.15,CV,2021-12-02 03:59:39
187,Wernigerode,51.8333,10.7833,38.21,78,90,15.66,DE,2021-12-02 03:59:39
188,Gloucester,51.8657,-2.2431,37.45,88,35,7.61,GB,2021-12-02 03:59:40
189,Dorado,18.4588,-66.2677,78.94,84,46,8.84,PR,2021-12-02 03:59:40
190,Saint Anthony,45.0205,-93.218,49.84,78,92,3.0,US,2021-12-02 03:59:40
191,Aksarka,66.5606,67.7975,0.79,96,100,14.47,RU,2021-12-02 03:59:41
192,Pavino,59.1139,46.1414,18.7,93,100,8.28,RU,2021-12-02 03:59:41
193,Gambela,8.25,34.5833,76.48,55,16,2.89,ET,2021-12-02 03:59:41
194,Nouadhibou,20.931,-17.0347,66.11,46,72,21.16,MR,2021-12-02 03:59:42
195,Ivanava,52.1451,25.5365,39.49,95,100,17.47,BY,2021-12-02 03:59:42
196,Pirgos,35.1167,25.7178,54.63,63,0,5.1,GR,2021-12-02 03:59:42
197,Sao Felix Do Xingu,-6.6447,-51.995,72.41,99,100,1.28,BR,2021-12-02 03:59:43
198,Kokrek,43.2364,46.7267,39.07,76,80,5.37,RU,2021-12-02 03:59:43
199,Berlevag,70.8578,29.0864,33.24,61,100,26.31,NO,2021-12-02 03:59:43
200,Girau Do Ponciano,-9.8842,-36.8289,73.15,83,78,8.79,BR,2021-12-02 03:59:44
201,Burgos,42.3394,-3.7079,34.21,100,75,4.61,ES,2021-12-02 03:59:44
202,Great Yarmouth,52.6083,1.7305,37.65,80,87,28.83,GB,2021-12-02 03:59:44
203,Husavik,66.0449,-17.3389,21.11,90,100,14.88,IS,2021-12-02 03:59:44
204,Banda Aceh,5.5577,95.3222,84.47,65,77,3.85,ID,2021-12-02 03:57:21
205,Sao Joao Da Barra,-21.6403,-41.0511,71.53,95,3,7.36,BR,2021-12-02 03:59:45
206,Talnakh,69.4865,88.3972,-22.77,97,24,4.9,RU,2021-12-02 03:59:45
207,Bengkulu,-3.8004,102.2655,83.66,65,43,8.48,ID,2021-12-02 03:59:45
208,Praia Da Vitoria,38.7333,-27.0667,62.85,94,75,5.14,PT,2021-12-02 03:59:46
209,Linhares,-19.3911,-40.0722,72.16,98,32,6.08,BR,2021-12-02 03:59:46
210,Kafanchan,9.5833,8.3,68.34,27,97,5.93,NG,2021-12-02 03:59:46
211,Tiznit,29.5833,-9.5,51.85,56,0,2.01,MA,2021-12-02 03:59:47
212,Severodvinsk,64.5635,39.8302,15.91,95,100,5.1,RU,2021-12-02 03:54:54
213,Port Blair,11.6667,92.75,78.84,89,90,9.22,IN,2021-12-02 03:59:47
214,Mansa,29.9833,75.3833,67.73,26,100,2.86,IN,2021-12-02 03:59:47
215,Balkanabat,39.5108,54.3671,60.01,55,100,7.16,TM,2021-12-02 03:59:48
216,Ardesen,41.1911,40.9875,46.36,75,99,5.32,TR,2021-12-02 03:59:48
217,The Valley,18.217,-63.0578,81.1,74,97,21.12,AI,2021-12-02 03:59:48
218,Vila Velha,-20.3297,-40.2925,76.95,91,75,3.44,BR,2021-12-02 03:59:33
219,Turtas,58.9417,69.1325,34.57,80,100,13.29,RU,2021-12-02 03:59:49
220,Pisco,-13.7,-76.2167,64.45,82,0,6.91,PE,2021-12-02 03:59:49
221,Solwezi,-12.1688,26.3894,60.91,81,72,2.51,ZM,2021-12-02 03:59:49
222,Ituango,7.1712,-75.764,58.8,98,68,0.94,CO,2021-12-02 03:59:50
223,Vestmanna,62.1564,-7.1664,32.92,60,75,14.97,FO,2021-12-02 03:59:50
224,Huarmey,-10.0681,-78.1522,66.2,86,100,6.29,PE,2021-12-02 03:59:50
225,Las Lomas,8.4333,-82.4,76.41,94,40,0.0,PA,2021-12-02 03:59:50
226,Baghmara,23.795,86.2085,73.22,43,5,5.1,IN,2021-12-02 03:59:51
227,Salinas,36.6777,-121.6555,62.82,45,0,2.37,US,2021-12-02 03:58:21
228,Lewisporte,49.2499,-55.0482,33.55,76,81,6.6,CA,2021-12-02 03:59:51
229,Caravelas,-17.7125,-39.2481,73.38,95,76,7.02,BR,2021-12-02 03:59:52
230,Gandorhun,7.5,-11.8333,75.15,93,98,0.72,SL,2021-12-02 03:59:52
