City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Destin,US,76.48,clear sky,30.3935,-86.4958,"Inn On Destin Harbor, Ascend Hotel Collection"
511,Alta Floresta,BR,85.82,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
512,Salta,AR,75.79,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
513,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
515,Balaka,MW,81.27,broken clouds,-14.9793,34.9558,Sun Village Lodge
517,Rosita,NI,81.41,scattered clouds,13.9268,-84.4032,Hospedaje Zeledón
518,Asyut,EG,64.58,scattered clouds,27.181,31.1837,Florence Hotel Assiut
519,Cienfuegos,CU,84.34,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
523,Ellisras,ZA,76.62,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
525,Atar,MR,84.25,clear sky,20.5169,-13.0499,Oumou Elghoura
526,Niteroi,BR,78.69,broken clouds,-22.8833,-43.1036,Guesthouse
528,Bongor,TD,84.36,overcast clouds,10.2806,15.3722,Oryx Palace
529,Progreso,MX,85.1,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
530,Kismayo,SO,80.1,few clouds,-0.3582,42.5454,Agan-Hotel
531,Aneho,TG,84.4,overcast clouds,6.2333,1.6,Hotel La Linette
532,Liberia,LR,77.99,overcast clouds,6.5,-9.5,
533,Mutum,BR,79.88,broken clouds,-19.8,-41.4383,Hotel do Djalma
534,Chokwe,MZ,83.14,clear sky,-24.5333,32.9833,Complexo Sonho Real
536,Oliveira Dos Brejinhos,BR,74.28,overcast clouds,-12.3169,-42.8961,Hotel Paraiso
537,Timbiqui,CO,77.63,light rain,2.7717,-77.6654,hotel diana
540,Trincomalee,LK,78.58,clear sky,8.5711,81.2335,Welcombe Hotel
546,Nioro,GM,88.29,overcast clouds,13.35,-15.75,
547,Dangriga,BZ,84.16,clear sky,16.9692,-88.2321,Chaleanor Hotel
548,Durban,ZA,71.92,moderate rain,-29.8579,31.0292,Hilton Durban
549,Tessalit,ML,71.91,few clouds,20.1986,1.0114,
552,San Ignacio,BZ,75.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
553,Sao Miguel Do Araguaia,BR,83.25,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
561,Aripuana,BR,81.32,overcast clouds,-9.1667,-60.6333,
564,Kariba,ZW,83.82,clear sky,-16.5167,28.8,Caribbea Bay Hotel
569,Tabou,CI,80.53,clear sky,4.423,-7.3528,hotêl doufoulougou
570,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
574,Biloxi,US,78.73,clear sky,30.396,-88.8853,IP Casino Resort Spa
576,Coxim,BR,88.34,overcast clouds,-18.5067,-54.76,Hotel Avenida
577,Kibala,TD,82.35,clear sky,9.1104,18.3463,hotel safari
579,San Pedro,PH,76.23,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
580,Hukuntsi,BW,71.62,overcast clouds,-24.0,21.75,Entabeni Hotel
581,Moussoro,TD,81.88,clear sky,13.6408,16.4901,Hôtel Salama
583,San Juan,AR,68.31,overcast clouds,-31.5375,-68.5364,Hotel Provincial
584,Crossville,US,65.25,overcast clouds,35.949,-85.0269,Hampton Inn Crossville
585,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
588,Flic En Flac,MU,79.52,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
589,Port Blair,IN,79.27,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
591,Maridi,SS,76.46,broken clouds,4.9158,29.4742,
592,Atmakur,IN,72.32,scattered clouds,15.8833,78.5833,Mee seva atk
593,Lethem,GY,91.8,broken clouds,3.3803,-59.7968,Savannah Inn
596,Trairi,BR,84.87,clear sky,-3.2778,-39.2689,janelas do mar
597,High Rock,BS,77.02,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
598,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
601,Catio,GW,80.62,broken clouds,11.2833,-15.25,Pausada Morabedja
602,Suarez,CO,75.7,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
604,La Romana,DO,85.73,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
605,Trujillo,PE,67.96,scattered clouds,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
606,Edgewater,US,77.29,few clouds,28.9889,-80.9023,Islander Beach Resort
607,Swellendam,ZA,64.78,moderate rain,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
609,Constitucion,CL,69.17,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
610,Araouane,ML,73.22,overcast clouds,18.9048,-3.5265,
613,Urucara,BR,88.97,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
614,Saint-Paul,RE,78.91,scattered clouds,-21.0096,55.2707,Boucan Canot
615,Sikasso,ML,85.12,broken clouds,10.9167,-7.0,
616,Mitzic,GA,71.71,overcast clouds,0.7821,11.549,Motel Emys
617,Rabo De Peixe,PT,66.27,broken clouds,37.8,-25.5833,Quinta das Giestas
618,Hosdurga,IN,69.53,overcast clouds,13.7981,76.2861,Sudarshan Lodge
619,Mananjary,MG,75.88,clear sky,-21.2167,48.3333,Vahiny Lodge
620,Quebo,GW,81.01,broken clouds,11.3333,-14.9333,
621,Venice,US,80.17,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
622,Pedernales,DO,85.6,few clouds,18.0384,-71.744,Hotel Costa Marina
624,Gwadar,PK,75.63,clear sky,25.1216,62.3254,Sadaf Resort
626,Manhumirim,BR,73.81,scattered clouds,-20.3578,-41.9581,Palace Hotel de Manhumirim
627,Nechi,CO,88.38,overcast clouds,8.0942,-74.7757,Ivan Villadiego guerra
630,Iracoubo,GF,78.06,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
631,Iquique,CL,69.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
632,Lichinga,MZ,71.69,few clouds,-13.3128,35.2406,Residencial Bendiak
633,Ilebo,CD,71.73,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
636,Mwinilunga,ZM,69.12,light rain,-11.7358,24.4293,Kwakuwahi Lodge
639,Prainha,BR,86.54,broken clouds,-1.8,-53.48,Casa Rocha
642,Doka,SD,81.95,clear sky,13.5167,35.7667,
645,Santa Fe,AR,87.03,scattered clouds,-31.6333,-60.7,Conquistador Hotel
646,Porto Santo,PT,64.78,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
648,Mogadishu,SO,80.37,clear sky,2.0371,45.3438,Hotel Juba
649,Buta,CD,73.35,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
653,Santa Isabel Do Rio Negro,BR,83.08,overcast clouds,-0.4139,-65.0192,Hotel GSA
